CallVolProd1,CallVolProd2,CallVolProd3,CallVolProd4,Date
306715,93582,63408,36534,11/1/2009
302119,96301,59471,43675,11/8/2009
317169,94574,60317,43644,11/15/2009
279626,78209,54997,35080,11/22/2009
352383,103563,68149,44229,11/29/2009
333882,96151,70927,39342,12/6/2009
310555,98558,70397,37673,12/13/2009
247178,67441,53244,24513,12/20/2009
283747,83497,53562,28547,12/27/2009
333041,97911,62253,35957,1/3/2010
347347,110953,66824,40721,1/10/2010
326751,94330,66891,41202,1/17/2010
347632,87845,64820,40073,1/24/2010
365315,100935,66797,40286,1/31/2010
327828,100805,62464,41939,2/7/2010
337489,105336,64815,51783,2/14/2010
334813,97612,66241,58216,2/21/2010
339496,109801,69790,52163,2/28/2010
312375,87063,62319,39459,3/7/2010
285784,86036,60715,31953,3/14/2010
298957,79550,64483,32340,3/21/2010
287771,76334,62861,29010,3/28/2010
283259,80150,61335,27678,4/4/2010
295804,86746,63242,28420,4/11/2010
290553,86480,65216,29265,4/18/2010
296211,87429,66229,29160,4/25/2010
307653,96985,72536,31414,5/2/2010
307596,93056,69956,33910,5/9/2010
303876,93345,70034,34871,5/16/2010
300546,84641,69142,33136,5/23/2010
265356,89084,66333,33310,5/30/2010
259493,79266,62948,24738,6/6/2010
325076,102543,71501,33108,6/13/2010
285228,82386,62779,26632,6/20/2010
347034,96120,71892,31527,6/27/2010
332125,90357,68323,28825,7/4/2010
353691,99830,67963,30897,7/11/2010
304210,85634,61336,26628,7/18/2010
331467,86753,66425,29930,7/25/2010
343432,97792,68948,30091,8/1/2010
361689,105078,65443,27749,8/8/2010
366035,112251,65907,27584,8/15/2010
387908,92720,59723,22329,8/22/2010
428427,105702,62315,21131,8/29/2010
377909,96588,54050,17141,9/5/2010
413228,110451,57969,21337,9/12/2010
423131,102349,73747,20254,9/19/2010
408148,99453,72013,18414,9/26/2010
414871,108879,73560,18074,10/3/2010
406555,113491,75002,18075,10/10/2010
417104,114306,84096,16466,10/17/2010
412386,94565,88236,14994,10/24/2010
412234,113091,95022,16619,10/31/2010
379870,96510,89457,14306,11/7/2010
426237,107222,95785,15217,11/14/2010
369458,84475,82841,12608,11/21/2010
452200,111360,107940,16389,11/28/2010
412095,108006,103384,14850,12/5/2010
412034,110941,102892,14635,12/12/2010
344327,85088,83473,10856,12/19/2010
325649,83901,84399,11650,12/26/2010
396719,117008,101109,15295,1/2/2011
388274,115974,95070,14846,1/9/2011
373779,105615,92645,15108,1/16/2011
372552,86918,92411,17531,1/23/2011
383341,110294,93386,17282,1/30/2011
384930,112494,93158,16223,2/6/2011
394018,117929,96814,17490,2/13/2011
387081,105661,94892,16246,2/20/2011
407211,124617,101500,17507,2/27/2011
389177,111598,97388,17304,3/6/2011
385391,116358,95490,16463,3/13/2011
378353,101178,94082,17515,3/20/2011
